group,day,hour,minute,relativeTime,timestamp,cage,rack,position,event
B6_M,0,10,15,36905,2025-10-14T10:15:05.812-0400,B6_M_12_3402,,,REGISTERED
B6_M,0,10,15,36909,2025-10-14T10:15:09.637-0400,B6_M_12_3401,,,REGISTERED
B6_M,0,10,15,36913,2025-10-14T10:15:13.106-0400,B6_M_12_3400,,,REGISTERED
B6_M,0,10,15,36927,2025-10-14T10:15:27.637-0400,B6_M_12_3401,,,ADDED
B6_M,0,10,15,36934,2025-10-14T10:15:34.637-0400,B6_M_12_3401,,,CAGE_ONLINE
B6_M,0,10,15,36937,2025-10-14T10:15:37.106-0400,B6_M_12_3400,,,ADDED
B6_M,0,10,15,36942,2025-10-14T10:15:42.637-0400,B6_M_12_3401,AAAA,B6,INSERTED
B6_M,0,10,15,36947,2025-10-14T10:15:47.106-0400,B6_M_12_3400,,,CAGE_ONLINE
B6_M,0,10,15,36953,2025-10-14T10:15:53.106-0400,B6_M_12_3400,AAAA,A6,INSERTED
B6_M,0,10,15,36953,2025-10-14T10:15:53.812-0400,B6_M_12_3402,,,ADDED
B6_M,0,10,15,36955,2025-10-14T10:15:55.249-0400,B6_M_12_3403,,,REGISTERED
B6_M,0,10,16,36970,2025-10-14T10:16:10.812-0400,B6_M_12_3402,,,CAGE_ONLINE
B6_M,0,10,16,36978,2025-10-14T10:16:18.812-0400,B6_M_12_3402,AAAA,C6,INSERTED
B6_M,0,10,16,37007,2025-10-14T10:16:47.249-0400,B6_M_12_3403,,,ADDED
B6_M,0,10,16,37019,2025-10-14T10:16:59.249-0400,B6_M_12_3403,,,CAGE_ONLINE
B6_M,0,10,17,37022,2025-10-14T10:17:02.249-0400,B6_M_12_3403,AAAA,D6,INSERTED
B6_M,0,10,17,37022,2025-10-14T10:17:02.560-0400,B6_M_12_3404,,,REGISTERED
B6_M,0,10,17,37072,2025-10-14T10:17:52.560-0400,B6_M_12_3404,,,ADDED
B6_M,0,10,17,37077,2025-10-14T10:17:57.560-0400,B6_M_12_3404,,,CAGE_ONLINE
B6_M,0,10,18,37085,2025-10-14T10:18:05.560-0400,B6_M_12_3404,AAAA,E6,INSERTED
B6_M,0,10,18,37132,2025-10-14T10:18:52.663-0400,B6_M_12_3405,,,REGISTERED
B6_M,0,10,19,37156,2025-10-14T10:19:16.610-0400,B6_M_12_3406,,,REGISTERED
B6_M,0,10,19,37175,2025-10-14T10:19:35.663-0400,B6_M_12_3405,,,ADDED
B6_M,0,10,19,37187,2025-10-14T10:19:47.663-0400,B6_M_12_3405,,,CAGE_ONLINE
B6_M,0,10,19,37192,2025-10-14T10:19:52.663-0400,B6_M_12_3405,AAAA,A5,INSERTED
B6_M,0,10,19,37198,2025-10-14T10:19:58.610-0400,B6_M_12_3406,,,ADDED
B6_M,0,10,20,37218,2025-10-14T10:20:18.610-0400,B6_M_12_3406,,,CAGE_ONLINE
B6_M,0,10,20,37223,2025-10-14T10:20:23.610-0400,B6_M_12_3406,AAAA,B5,INSERTED
B6_M,0,10,20,37240,2025-10-14T10:20:40.100-0400,B6_M_12_3407,,,REGISTERED
B6_M,0,10,21,37266,2025-10-14T10:21:06.100-0400,B6_M_12_3407,,,ADDED
B6_M,0,10,21,37281,2025-10-14T10:21:21.100-0400,B6_M_12_3407,,,CAGE_ONLINE
B6_M,0,10,21,37284,2025-10-14T10:21:24.100-0400,B6_M_12_3407,AAAA,C5,INSERTED
B6_M,0,10,35,38142,2025-10-14T10:35:42.074-0400,B6_M_12_3403,,,UPDATED
B6_M,0,10,46,38771,2025-10-14T10:46:11.954-0400,B6_M_12_3401,,,UPDATED
B6_M,2,6,45,197130,2025-10-16T06:45:30.204-0400,B6_M_12_3407,,,UPDATED
B6_M,2,10,0,208856,2025-10-16T10:00:56.045-0400,B6_M_12_3400,,,UPDATED
B6_M,2,18,21,238911,2025-10-16T18:21:51.010-0400,B6_M_12_3400,,,UPDATED
B6_M,2,19,19,242340,2025-10-16T19:19:00.000-0400,B6_M_12_3400,,,REMOVED
B6_M,2,19,24,242698,2025-10-16T19:24:58.109-0400,B6_M_12_3400,AAAA,A6,INSERTED
B6_M,3,3,44,272672,2025-10-17T03:44:32.551-0400,B6_M_12_3405,,,UPDATED
