group,day,hour,minute,relativeTime,timestamp,cage,rack,position,event
B6_M,0,10,15,36912,2025-10-14T10:15:12.212-0400,B6_M_12_34,AAAA,A6,INSERTED
B6_M,0,10,15,36933,2025-10-14T10:15:33.909-0400,B6_M_12_343,AAAA,B6,INSERTED
B6_M,0,10,16,36961,2025-10-14T10:16:01.182-0400,B6_M_12_342,AAAA,C6,INSERTED
B6_M,0,10,16,37007,2025-10-14T10:16:47.535-0400,B6_M_12_3421,AAAA,D6,INSERTED
B6_M,0,10,17,37026,2025-10-14T10:17:06.649-0400,B6_M_12_3420,AAAA,E6,INSERTED
B6_M,0,10,17,37048,2025-10-14T10:17:28.832-0400,B6_M_12_347,AAAA,F6,INSERTED
B6_M,0,10,17,37066,2025-10-14T10:17:46.773-0400,B6_M_12_3418,AAAA,G6,INSERTED
B6_M,0,10,18,37088,2025-10-14T10:18:08.867-0400,B6_M_12_3417,AAAA,H6,INSERTED
B6_M,0,10,18,37105,2025-10-14T10:18:25.033-0400,B6_M_12_3416,AAAA,A5,INSERTED
B6_M,0,10,18,37124,2025-10-14T10:18:44.663-0400,B6_M_12_3415,AAAA,B5,INSERTED
B6_M,0,10,20,37249,2025-10-14T10:20:49.005-0400,B6_M_12_3414,AAAA,C5,INSERTED
B6_M,0,10,21,37278,2025-10-14T10:21:18.770-0400,B6_M_12_3413,AAAA,D5,INSERTED
B6_M,0,10,21,37302,2025-10-14T10:21:42.162-0400,B6_M_12_3412,AAAA,E5,INSERTED
B6_M,0,10,22,37331,2025-10-14T10:22:11.342-0400,B6_M_12_3411,AAAA,F5,INSERTED
B6_M,0,10,22,37353,2025-10-14T10:22:33.771-0400,B6_M_12_3410,AAAA,G5,INSERTED
B6_M,0,10,22,37377,2025-10-14T10:22:57.464-0400,B6_M_12_3439,AAAA,H5,INSERTED
B6_M,0,10,23,37402,2025-10-14T10:23:22.537-0400,B6_M_12_3408,AAAA,A4,INSERTED
B6_M,0,10,23,37437,2025-10-14T10:23:57.403-0400,B6_M_12_3407,AAAA,B4,INSERTED
B6_M,0,10,24,37474,2025-10-14T10:24:34.662-0400,B6_M_12_3406,AAAA,C4,INSERTED
B6_M,0,10,25,37501,2025-10-14T10:25:01.309-0400,B6_M_12_3405,AAAA,D4,INSERTED
