animal,group,day,activity_count
animal-1,vehicle-standard,1,99
animal-1,vehicle-standard,2,102
animal-1,vehicle-standard,3,105
animal-1,vehicle-standard,4,104
animal-1,vehicle-standard,5,110
animal-1,vehicle-standard,6,110
animal-1,vehicle-standard,7,113
animal-2,vehicle-standard,1,105
animal-2,vehicle-standard,2,105
animal-2,vehicle-standard,3,108
animal-2,vehicle-standard,4,112
animal-2,vehicle-standard,5,110
animal-2,vehicle-standard,6,115
animal-2,vehicle-standard,7,116
animal-3,vehicle-enriched,1,106
animal-3,vehicle-enriched,2,109
animal-3,vehicle-enriched,3,109
animal-3,vehicle-enriched,4,114
animal-3,vehicle-enriched,5,114
animal-3,vehicle-enriched,6,114
animal-3,vehicle-enriched,7,119
animal-4,vehicle-enriched,1,107
animal-4,vehicle-enriched,2,112
animal-4,vehicle-enriched,3,112
animal-4,vehicle-enriched,4,113
animal-4,vehicle-enriched,5,117
animal-4,vehicle-enriched,6,118
animal-4,vehicle-enriched,7,118
animal-5,active-standard,1,114
animal-5,active-standard,2,113
animal-5,active-standard,3,117
animal-5,active-standard,4,118
animal-5,active-standard,5,118
animal-5,active-standard,6,123
animal-5,active-standard,7,123
animal-6,active-standard,1,116
animal-6,active-standard,2,116
animal-6,active-standard,3,122
animal-6,active-standard,4,123
animal-6,active-standard,5,123
animal-6,active-standard,6,126
animal-6,active-standard,7,129
animal-7,active-enriched,1,122
animal-7,active-enriched,2,123
animal-7,active-enriched,3,123
animal-7,active-enriched,4,129
animal-7,active-enriched,5,128
animal-7,active-enriched,6,132
animal-7,active-enriched,7,133
animal-8,active-enriched,1,121
animal-8,active-enriched,2,126
animal-8,active-enriched,3,127
animal-8,active-enriched,4,128
animal-8,active-enriched,5,133
animal-8,active-enriched,6,133
animal-8,active-enriched,7,136
